Bundle,Subcat,Article
can be used to,Ability,"Biber, Conrad & Cortes, 2004, Cortes 2013, Damchevska 2019, Gilmore & Millar (2018), Nasrabady, Shirvan, & Golparvar (2020), Pan, Reppen & Biber (2016), Shahriari (2017), Shirazizadeh & Amirfazlian (2021)"
it is possible to,Ability,"Biber, Conrad & Cortes, 2004, Cortes 2013, Gilmore & Millar (2018), Pan, Reppen & Biber (2016)"
to be able to,Ability,"Biber, Conrad & Cortes, 2004, Nasrabady, Shirvan, & Golparvar (2020), Shahriari (2017), Shirazizadeh & Amirfazlian (2021)"
to come up with,Ability,"Biber, Conrad & Cortes, 2004"
do you want a,Desire,"Biber, Conrad & Cortes, 2004"
do you want to,Desire,"Biber, Conrad & Cortes, 2004"
i don't want to,Desire,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
if you want to,Desire,"Biber, Conrad & Cortes, 2004"
what do you want,Desire,"Biber, Conrad & Cortes, 2004"
you want to go,Desire,"Biber, Conrad & Cortes, 2004"
and i don't know,Epistemic,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
and i think that,Epistemic,"Biber, Conrad & Cortes, 2004"
are more likely to,Epistemic,"Biber, Conrad & Cortes, 2004, Damchevska 2019, Esfandiari & Barbary (2017), Hong & Hua (2018), Nasrabady, Shirvan, & Golparvar (2020), Shahriari (2017), Wright (2019)"
el hecho de que,Epistemic,Tracy-Ventura et al. 2007; Cortes 2008
i don't know how,Epistemic,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
i don't know i,Epistemic,"Biber, Conrad & Cortes, 2004"
i don't know if,Epistemic,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
i don't know what,Epistemic,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
i don't know whether,Epistemic,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
i don't know why,Epistemic,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
i don't think so,Epistemic,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
i think it was,Epistemic,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
i thought it was,Epistemic,"Biber, Conrad & Cortes, 2004"
is one of the most,Epistemic,"Cortes 2013, Nasrabady, Shirvan, & Golparvar (2020)"
it is important to,Epistemic,"Biber, Conrad & Cortes, 2004, Cortes 2013, Damchevska 2019, Hong & Hua (2018), Nasrabady, Shirvan, & Golparvar (2020), Pan, Reppen & Biber (2016), Shahriari (2017), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
it is important to note that,Epistemic,Gilmore & Millar (2018)
it is possible that,Epistemic,"[Academic Literature], Damchevska 2019, Hong & Hua (2018), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
it is possible that ,Epistemic,Wright (2019)
it should be noted,Epistemic,"[Academic Literature], Pan, Reppen & Biber (2016), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
it should be noted that,Epistemic,Cortes 2013
la importancia de la,Epistemic,Cortes 2008
la posibilidad de que,Epistemic,Cortes 2008
la verdad es que,Epistemic,TV2007
oh i don't know,Epistemic,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
showed that the,Epistemic,"Nasrabady, Shirvan, & Golparvar (2020)"
the fact that,Epistemic,"Hong & Hua (2018), Nasrabady, Shirvan, & Golparvar (2020)"
the fact that the,Epistemic,"Biber, Conrad & Cortes, 2004, Cortes 2008, Cortes 2013, Damchevska 2019, Gilmore & Millar (2018), Pan, Reppen & Biber (2016), Shirazizadeh & Amirfazlian (2021)"
well i don't know,Epistemic,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
you know what i,Epistemic,"Biber, Conrad & Cortes, 2004, LGSWE conversation"
and stuff like that,Imprecision,"Biber, Conrad & Cortes, 2004"
and things like that,Imprecision,"Biber, Conrad & Cortes, 2004"
or something like that,Imprecision,"Biber, Conrad & Cortes, 2004"
what are you doing,Inquiry,"Biber, Conrad & Cortes, 2004"
a favor de la,Intangible Framing Attributes,Cortes 2008
a la luz de,Intangible Framing Attributes,Cortes 2008
a la necesidad de,Intangible Framing Attributes,Cortes 2008
a member of the,Intangible Framing Attributes,Cortes 2008
a pesar de la,Intangible Framing Attributes,Cortes 2008
a pesar de que,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
as a result of,Intangible Framing Attributes,"Biber, Conrad & Cortes, 2004, Cortes 2008, Cortes 2013, Damchevska 2019, Esfandiari & Barbary (2017), Hong & Hua (2018), Shahriari (2017), Shirazizadeh & Amirfazlian (2021), Wright (2019)"
as part of a,Intangible Framing Attributes,Cortes 2008
as part of the,Intangible Framing Attributes,"Cortes 2008, Shahriari (2017), Shirazizadeh & Amirfazlian (2021)"
como en el caso,Intangible Framing Attributes,Cortes 2008
con el fin de,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
con el propósito de,Intangible Framing Attributes,Cortes 2008
con respecto a la,Intangible Framing Attributes,Tracy-Ventura et al. 2007; Cortes 2008
de la construcción de,Intangible Framing Attributes,Cortes 2008
